k,p
50,0.27293
51,0.27104
52,0.27056
53,0.26893
54,0.26769
55,0.26746
56,0.26505
57,0.26423
58,0.26361
59,0.26421
60,0.2615
61,0.25961
62,0.25853
63,0.25851
64,0.25732
65,0.25527
66,0.2575
67,0.25617
68,0.2512
69,0.25263
70,0.24944
71,0.25042
72,0.24878
73,0.25229
74,0.24553
75,0.24811
76,0.24787
77,0.2456
78,0.24467
79,0.24736
80,0.24288
81,0.24246
82,0.24286
83,0.2387
84,0.23921
85,0.24095
86,0.23918
87,0.2386
88,0.23594
89,0.23828
90,0.23509
91,0.23377
92,0.23627
93,0.23369
94,0.23585
95,0.23583
96,0.23319
97,0.23316
98,0.23192
99,0.22895
