k,p
1,1.0
2,0.74926
3,0.64395
4,0.583
5,0.53933
6,0.50958
7,0.48396
8,0.46222
9,0.44733
10,0.43329
11,0.41998
12,0.40716
13,0.39988
14,0.39118
15,0.37793
16,0.37634
17,0.36827
18,0.36256
19,0.35824
20,0.35192
21,0.34815
22,0.34129
23,0.3407
24,0.33495
25,0.33183
26,0.32444
27,0.32559
28,0.31903
29,0.32097
30,0.31552
31,0.31222
32,0.31012
33,0.30693
34,0.30446
35,0.3038
36,0.29953
37,0.29804
38,0.29684
39,0.29122
40,0.29103
41,0.2866
42,0.28558
43,0.285
44,0.2829
45,0.28067
46,0.28161
47,0.27799
48,0.277
49,0.27613
